what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338263639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338272486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338280446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338290596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338298209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338306560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338361929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338361985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338386203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338388371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338447933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1401338448007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1401338448007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338450951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338737752
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401338739344
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401338752278
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401338752574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338769143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1401338769241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338769253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338771030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338778855
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401338790773
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401338794182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338794512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338796842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338833537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338842765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338843434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401338843704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338844568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338846662
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401338847896
